City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,33,4,9,0.27,2,103,65,7
阿克苏地区,500,427,1454,0.65,17,67,29,9
阿拉善盟,57,28,62,0.3,7,113,99,11
阿勒泰地区,50,15,22,0.35,7,98,98,10
阿里地区,28,6,11,0.35,3,81,54,4
安康,69,39,85,0.8,19,106,59,11
安庆,59,41,60,0.38,15,134,85,6
鞍山,71,51,76,1.24,31,96,74,27
安顺,59,34,65,0.6,10,114,105,10
安阳,289,238,302,1.88,38,114,54,21
白城,70,49,63,0.45,11,131,122,18
百色,67,36,82,1.15,16,134,55,24
白山,71,51,66,1.4,16,106,84,13
白银,63,35,74,1.2,18,104,57,41
保定,164,124,204,1.28,46,150,79,21
宝鸡,142,108,161,1.25,62,71,33,16
保山,72,47,92,0.7,8,156,80,9
包头,75,47,98,0.67,18,122,55,14
巴彦淖尔,63,34,74,0.4,15,105,50,11
巴中,63,30,74,0.75,32,60,40,4
北海,67,31,55,0.78,14,164,119,10
北京,208,157,178,2.6,60,110,60,33
蚌埠,64,40,75,0.58,16,132,94,9
本溪,63,44,61,1.0,17,122,82,17
毕节,74,51,96,0.8,10,139,99,13
滨州,147,112,145,1.1,30,111,50,31
博州,53,27,53,0.6,8,63,38,11
亳州,80,58,102,0.65,18,134,87,10
沧州,184,138,207,0.93,59,90,52,28
长春,53,34,53,0.76,23,120,89,13
常德,66,34,80,0.78,15,137,62,14
昌都,35,20,25,0.65,9,102,68,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,92,48,132,1.1,28,59,50,9
长沙,56,26,60,0.65,23,131,79,19
常熟,80,58,101,0.73,32,124,88,25
长治,138,105,168,0.8,16,137,64,11
常州,65,46,62,0.92,40,84,53,14
朝阳,48,33,45,0.68,16,107,83,22
潮州,63,44,64,0.67,14,155,90,13
承德,85,52,117,1.12,36,108,58,23
成都,65,43,78,0.7,41,103,71,16
郴州,56,23,59,0.28,14,107,47,18
赤峰,87,64,122,0.73,26,66,37,41
池州,56,39,52,0.5,17,111,72,8
重庆,59,27,65,0.74,44,62,42,12
崇左,69,41,61,0.7,13,174,78,21
楚雄州,58,40,62,1.05,10,84,44,15
滁州,105,78,100,0.6,22,115,74,9
大连,89,66,105,1.11,28,114,63,18
大理州,76,55,72,0.95,16,143,122,5
丹东,52,35,51,0.65,12,102,62,13
大庆,50,29,41,0.54,24,123,98,23
大同,56,19,59,0.78,9,96,62,9
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,36,9,22,0.4,12,91,70,11
达州,72,43,91,0.84,33,88,48,15
德宏州,138,105,127,0.9,32,142,47,21
德阳,72,42,92,0.65,29,90,50,7
德州,144,110,177,1.43,21,115,67,12
定西,41,17,40,0.75,16,115,56,10
迪庆州,53,27,44,0.6,8,131,102,14
东莞,54,28,44,0.68,23,162,80,11
东营,154,117,207,1.02,21,107,38,46
鄂尔多斯,65,18,78,0.58,12,121,77,11
恩施州,61,40,70,0.9,20,90,38,8
鄂州,66,47,72,0.8,37,93,65,16
防城港,59,33,66,0.8,17,164,93,18
佛山,56,36,59,0.57,36,114,54,10
抚顺,64,45,62,0.57,16,125,103,15
阜新,57,35,51,0.48,13,121,107,13
阜阳,61,27,70,0.5,10,133,88,4
富阳,60,29,67,0.5,16,105,67,15
福州,70,50,65,0.7,25,138,106,8
抚州,60,40,67,0.56,11,114,69,25
甘南州,51,28,50,1.1,17,107,62,5
赣州,77,56,85,1.2,26,110,55,19
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,47,13,46,0.6,5,92,70,15
广安,85,50,118,0.96,54,47,40,18
广元,70,27,88,1.05,70,37,20,36
广州,44,22,43,0.53,32,112,64,10
贵港,57,38,62,0.8,14,140,85,20
桂林,56,38,59,0.53,14,133,73,9
贵阳,60,20,68,0.43,13,119,86,9
果洛州,36,13,33,0.4,14,113,62,28
固原,51,14,50,0.37,8,128,69,7
哈尔滨,54,34,56,0.65,23,118,90,20
海北州,47,25,34,0.3,13,115,92,12
海东地区,52,32,52,1.2,15,116,56,17
海口,43,14,36,0.52,8,95,84,4
海门,63,44,70,0.7,29,94,63,11
海南州,48,18,47,0.6,7,77,46,11
海西州,39,23,29,0.9,14,94,76,24
哈密地区,125,0,197,0.0,11,96,49,6
邯郸,234,183,269,1.53,38,107,56,22
杭州,93,69,89,0.86,38,98,54,8
汉中,96,71,120,1.48,55,26,16,12
鹤壁,211,160,270,2.27,56,117,56,31
河池,67,42,82,0.6,14,128,53,18
合肥,55,37,57,0.58,26,117,72,4
鹤岗,41,11,23,0.43,9,91,81,7
黑河,40,16,30,0.5,10,93,79,63
衡水,163,123,180,0.97,21,106,49,9
衡阳,42,20,41,0.63,14,112,57,15
和田地区,500,164,742,0.8,4,109,63,17
河源,36,19,35,0.6,14,96,59,8
菏泽,119,89,151,1.43,21,125,78,13
贺州,60,42,68,0.7,8,125,61,10
红河州,54,30,55,0.6,9,101,97,8
淮安,85,59,118,0.74,28,137,80,16
淮北,75,54,87,0.77,22,133,89,19
怀化,78,43,103,0.64,9,133,60,7
淮南,58,38,63,0.43,20,124,78,9
黄冈,65,40,78,0.85,21,108,78,15
黄南州,46,21,45,1.1,8,112,90,11
黄山,43,23,42,0.5,8,78,44,14
黄石,67,44,81,0.93,29,102,53,22
呼和浩特,52,17,52,0.76,23,102,52,14
惠州,43,23,40,0.48,16,135,76,7
葫芦岛,89,66,89,1.2,20,127,102,80
呼伦贝尔,39,27,34,0.4,8,103,71,5
湖州,86,63,82,0.91,49,91,55,15
佳木斯,47,32,46,0.38,12,94,66,9
吉安,61,39,70,0.2,8,126,69,12
江门,100,54,77,0.7,38,199,84,15
江阴,93,69,101,1.3,39,128,60,15
胶南,137,104,135,1.3,36,81,56,12
胶州,109,81,119,0.9,49,100,58,22
焦作,207,156,229,1.6,42,121,58,28
嘉兴,120,90,110,0.93,32,148,87,12
嘉峪关,75,36,98,1.5,27,90,63,71
揭阳,63,44,65,0.78,16,168,92,13
吉林,53,30,45,0.7,15,129,102,13
即墨,91,67,122,1.05,31,124,82,14
济南,124,93,171,0.91,38,119,72,26
金昌,64,18,75,0.4,10,123,69,6
晋城,93,69,108,1.4,21,129,60,18
景德镇,68,47,83,0.7,17,129,60,22
荆门,88,65,102,0.98,29,109,63,14
荆州,77,56,99,1.03,19,128,70,21
金华,58,40,62,0.57,24,114,72,11
济宁,100,53,148,0.9,18,127,90,20
金坛,67,48,72,0.6,15,133,81,9
晋中,110,82,139,1.33,30,142,64,68
锦州,77,56,56,0.74,17,109,90,21
九江,52,30,52,0.44,14,109,73,9
酒泉,80,30,107,0.4,9,125,69,14
鸡西,38,16,29,0.33,11,80,74,5
句容,73,42,93,0.55,17,145,71,9
开封,160,121,139,1.15,26,124,69,22
喀什地区,38,0,0,1.3,0,118,38,4
克拉玛依,57,23,62,0.74,18,77,42,9
克州,500,270,1429,0.6,12,69,59,3
库尔勒,500,334,1417,1.17,13,73,44,8
昆明,71,51,68,0.91,26,112,86,15
昆山,76,55,87,0.8,30,135,80,11
来宾,67,42,82,0.6,11,123,44,18
